url,score,issues,priority,contact_email,status
chubbiesshorts.com,0,102,EXTREME,support@chubbies.com,ready
hismileteeth.com,0,134,EXTREME,hello@hismileteeth.com,ready
tracksmith.com,24,38,CRITICAL,support@tracksmith.com,ready
anker.com,31,23,CRITICAL,support@anker.com,ready
casetify.com,43,30,CRITICAL,hello@casetify.com,ready
rayconglobal.com,47,24,CRITICAL,support@rayconglobal.com,ready
aloyoga.com,48,21,CRITICAL,customerservice@aloyoga.com,ready
vuoriclothing.com,52,10,HIGH,hello@vuoriclothing.com,ready
rhone.com,56,30,HIGH,hello@rhone.com,ready
burrow.com,57,40,HIGH,hello@burrow.com,ready
pangaia.com,57,35,HIGH,customerservice@thepangaia.com,ready
monos.com,60,55,HIGH,hello@monos.com,ready
goodamerican.com,60,14,HIGH,service@goodamerican.com,ready
savagex.com,62,19,HIGH,support@savagex.com,ready
puravidabracelets.com,63,15,HIGH,info@puravidabracelets.com,ready
awaytravel.com,67,15,MODERATE,hello@awaytravel.com,ready
drinkhint.com,55,20,HIGH,,
alo.com,48,21,HIGH,,
drinkhint.com,55,20,HIGH,hello@drinkhint.com,ready
frame-store.com,33,17,HIGH,,
buffy.co,69,14,HIGH,,
frame-store.com,33,17,CRITICAL,customerservice@frame-store.com,ready
buffy.co,69,14,MODERATE,hello@buffy.co,ready
