url,score,totalIssues,criticalIssues,platform,scannedAt
fashionnova.com,100,0,0,Shopify,2026-01-13T17:03:18Z
aloyoga.com,48,21,21,Shopify,2026-01-13T17:03:36Z
outdoorvoices.com,82,6,6,Shopify,2026-01-13T17:03:50Z
goodamerican.com,60,14,14,Shopify,2026-01-13T17:04:14Z
wearfigs.com,92,2,2,Shopify,2026-01-13T17:04:31Z
bombas.com,89,3,3,Shopify,2026-01-13T17:04:49Z
chubbiesshorts.com,0,102,102,Shopify,2026-01-13T17:05:05Z
knix.com,100,0,0,WordPress,2026-01-13T17:05:22Z
pangaia.com,57,35,35,Shopify,2026-01-13T17:05:52Z
kyliecosmetics.com,72,9,9,Shopify,2026-01-13T17:06:22Z
jeffreestarcosmetics.com,80,7,7,Shopify,2026-01-13T17:06:40Z
colourpop.com,94,2,2,Shopify,2026-01-13T17:07:02Z
rarebeauty.com,72,9,9,Shopify,2026-01-13T17:07:15Z
hismileteeth.com,0,134,134,Shopify,2026-01-13T17:07:44Z
skims.com,91,3,3,Shopify,2026-01-13T17:08:11Z
allbirds.com,100,0,0,Shopify,2026-01-13T17:08:28Z
stevemadden.com,80,7,7,Shopify,2026-01-13T17:08:47Z
rebeccaminkoff.com,86,4,4,Shopify,2026-01-13T17:10:07Z
ruggable.com,92,2,2,Shopify,2026-01-13T17:10:21Z
bulletproof.com,75,26,26,WordPress,2026-01-13T17:10:37Z
